0x0300,0x98
0x0301,0x00
0x0302,0x47
0x0303,0x00
0x0304,0xBC
0x0305,0x00
0x0306,0x5D
0x0307,0x02
0x0308,0x4A
0x0309,0x40
0x030A,0x0D
0x030B,0x00
0x030C,0x5F
0x030D,0x00
0x030E,0xF2
0x030F,0x01
0x0310,0xFD
0x0311,0x01
0x0312,0x22
0x0313,0x40
0x0314,0x6F
0x0315,0x40
0x0316,0x37
0x0317,0x00
0x0318,0xE3
0x0319,0x01
0x031A,0x8D
0x031B,0x00
0x031C,0x58
0x031D,0x00
0x031E,0xB1
0x031F,0x01
0x0320,0x29
0x0321,0x00
0x0322,0x0A
0x0323,0x00
0x0324,0x05
0x0325,0x01
0x0326,0x00
0x0327,0x00
0x0328,0x80
0x0329,0x41
0x032A,0x44
0x032B,0x40
0x032C,0x46
0x032D,0x00
0x032E,0x74
0x032F,0x00
0x0330,0x51
0x0331,0x00
0x0332,0x1F
0x0333,0x00
0x0334,0xFE
0x0335,0x40
0x0336,0xF7
0x0337,0x40
0x0338,0x3A
0x0339,0x01
0x033A,0x67
0x033B,0x00
0x033C,0x71
0x033D,0x40
0x033E,0x6E
0x033F,0x41
0x0340,0x39
0x0341,0x42
0x0342,0x10
0x0343,0x40
0x0344,0x53
0x0345,0x02
0x0346,0x00
0x0347,0x40
0x0348,0x3F
0x0349,0x42
0x034A,0x6A
0x034B,0x40
0x034C,0xD4
0x034D,0x00
0x034E,0x2B
0x034F,0x00
0x0350,0x32
0x0351,0x41
0x0352,0x0D
0x0353,0x00
0x0354,0x88
0x0355,0x40
0x0356,0x24
0x0357,0x41
0x0358,0xBC
0x0359,0x40
0x035A,0x71
0x035B,0x00
0x035C,0x2A
0x035D,0x40
0x035E,0x16
0x035F,0x41
0x0360,0xCB
0x0361,0x42
0x0362,0x13
0x0363,0x00
0x0364,0x93
0x0365,0x01
0x0366,0xA5
0x0367,0x40
0x0368,0x23
0x0369,0x43
0x036A,0x56
0x036B,0x40
0x036C,0xF4
0x036D,0x01
0x036E,0x89
0x036F,0x40
0x0370,0xF8
0x0371,0x42
0x0372,0x10
0x0373,0x00
0x0374,0xA1
0x0375,0x40
